objectid,title,affiliation,orcid
10001,Tim Alamenciak, Carleton University, https://orcid.org/0000-0002-1296-252810002
10002,Shad Mahlum,Department of Biology Memorial University of Newfoundland  St. John's Newfoundland and Labrador A1B 3X9 Canada,
10003,David Cote,"Fisheries and Oceans Canada, 80 East White Hills Road  St. John's Newfoundland and Labrador A1C 5X1 Canada",
10004,Yolanda F. Wiersma,Department of Biology Memorial University of Newfoundland  St. John's Newfoundland and Labrador A1B 3X9 Canada,
10005,Curtis Pennell,"Fisheries and Oceans Canada, 80 East White Hills Road  St. John's Newfoundland and Labrador A1C 5X1 Canada",
10006,Blair Adams,"Forestry and Wildlife Research, Forestry and Wildlife Branch Department of Fisheries and Land Resources  Corner Brook Newfoundland and Labrador A1V 2T6 Canada",
10007,Paul P.J. Gaffney,"Environmental Research Institute, North Highland College University of the Highlands and Islands  Thurso UK",
10008,Sandrine Hugron,"Peatland Ecology Research Group, Pavillon Paul‐Comtois Université Laval  Laval QC Canada",
10009,Sylvain Jutras,"Département des sciences du bois et de la forêt, Pavillon Abitibi‐Price Université Laval  Laval QC Canada",
10010,Olivier Marcoux,"Département des sciences du bois et de la forêt, Pavillon Abitibi‐Price Université Laval  Laval QC Canada",
10011,Sébastien Raymond,"Peatland Ecology Research Group, Pavillon Paul‐Comtois Université Laval  Laval QC Canada",
10012,Line Rochefort,"Peatland Ecology Research Group, Pavillon Paul‐Comtois Université Laval  Laval QC Canada",
10013,Meghan M. Beale,Department of Biological Sciences University of Alberta Edmonton Alberta T6G 2E9 Canada,
10014,Mark S. Boyce,Department of Biological Sciences University of Alberta Edmonton Alberta T6G 2E9 Canada,
